"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"2","Cannonball","","2","False","","True","Ammo for the Dwarf Cannon.","/Game/Textures/Items/T_Cannonball.T_Cannonball",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"5","Instruction manual","","5","False","","False","An old note book.","/Game/Textures/Items/T_InstructionManual.T_InstructionManual",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"33","Lit candle","","33","False","","False","A lit candle.","/Game/Textures/Items/T_LitCandle.T_LitCandle",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"36","Candle","","36","False","","False","A candle.","/Game/Textures/Items/T_Candle.T_Candle",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"39","Bronze arrowtips","","39","False","","True","I can make some arrows with these.","/Game/Textures/Items/T_BronzeArrowtips.T_BronzeArrowtips",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"40","Iron arrowtips","","40","False","","True","I can make some arrows with these.","/Game/Textures/Items/T_IronArrowtips.T_IronArrowtips",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"41","Steel arrowtips","","41","False","","True","I can make some arrows with these.","/Game/Textures/Items/T_SteelArrowtips.T_SteelArrowtips",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"42","Mithril arrowtips","","42","False","","True","I can make some arrows with these.","/Game/Textures/Items/T_MithrilArrowtips.T_MithrilArrowtips",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"43","Adamant arrowtips","","43","False","","True","I can make some arrows with these.","/Game/Textures/Items/T_AdamantArrowtips.T_AdamantArrowtips",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"44","Rune arrowtips","","44","False","","True","I can make some arrows with these.","/Game/Textures/Items/T_RuneArrowtips.T_RuneArrowtips",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"45","Opal bolt tips","","45","False","","True","Opal bolt tips.","/Game/Textures/Items/T_OpalBoltTips.T_OpalBoltTips",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"46","Pearl bolt tips","","46","False","","True","Pearl bolt tips.","/Game/Textures/Items/T_PearlBoltTips.T_PearlBoltTips",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"47","Barb bolttips","","47","False","","True","I can make bolts with these.","/Game/Textures/Items/T_BarbBolttips.T_BarbBolttips",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"48","Longbow (u)","","48","False","","False","I need to find a string for this.","/Game/Textures/Items/T_LongbowU.T_LongbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"50","Shortbow (u)","","50","False","","False","I need to find a string for this.","/Game/Textures/Items/T_ShortbowU.T_ShortbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"52","Arrow shaft","","52","False","","True","A wooden arrow shaft.","/Game/Textures/Items/T_ArrowShaft.T_ArrowShaft",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"53","Headless arrow","","53","False","","True","A wooden arrow shaft with flights attached.","/Game/Textures/Items/T_HeadlessArrow.T_HeadlessArrow",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"54","Oak shortbow (u)","","54","False","","False","An unstrung oak shortbow; I need a bowstring for this.","/Game/Textures/Items/T_OakShortbowU.T_OakShortbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"56","Oak longbow (u)","","56","False","","False","An unstrung oak longbow; I need a bowstring for this.","/Game/Textures/Items/T_OakLongbowU.T_OakLongbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"58","Willow longbow (u)","","58","False","","False","An unstrung willow longbow; I need a bowstring for this.","/Game/Textures/Items/T_WillowLongbowU.T_WillowLongbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"60","Willow shortbow (u)","","60","False","","False","An unstrung willow shortbow; I need a bowstring for this.","/Game/Textures/Items/T_WillowShortbowU.T_WillowShortbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"62","Maple longbow (u)","","62","False","","False","An unstrung maple longbow; I need a bowstring for this.","/Game/Textures/Items/T_MapleLongbowU.T_MapleLongbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"64","Maple shortbow (u)","","64","False","","False","An unstrung maple shortbow; I need a bowstring for this.","/Game/Textures/Items/T_MapleShortbowU.T_MapleShortbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"66","Yew longbow (u)","","66","False","","False","An unstrung yew longbow; I need a bowstring for this.","/Game/Textures/Items/T_YewLongbowU.T_YewLongbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"68","Yew shortbow (u)","","68","False","","False","An unstrung yew shortbow; I need a bowstring for this.","/Game/Textures/Items/T_YewShortbowU.T_YewShortbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"70","Magic longbow (u)","","70","False","","False","An unstrung magic longbow; I need a bowstring for this.","/Game/Textures/Items/T_MagicLongbowU.T_MagicLongbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"72","Magic shortbow (u)","","72","False","","False","An unstrung magic shortbow; I need a bowstring for this.","/Game/Textures/Items/T_MagicShortbowU.T_MagicShortbowU",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"91","Guam potion (unf)","","91","False","","False","I need another ingredient to finish this Guam potion.","/Game/Textures/Items/T_GuamPotionUnf.T_GuamPotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"93","Marrentill potion (unf)","","93","False","","False","I need another ingredient to finish this Marrentill potion.","/Game/Textures/Items/T_MarrentillPotionUnf.T_MarrentillPotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"95","Tarromin potion (unf)","","95","False","","False","I need another ingredient to finish this Tarromin potion.","/Game/Textures/Items/T_TarrominPotionUnf.T_TarrominPotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"97","Harralander potion (unf)","","97","False","","False","I need another ingredient to finish this Harralander potion.","/Game/Textures/Items/T_HarralanderPotionUnf.T_HarralanderPotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"99","Ranarr potion (unf)","","99","False","","False","I need another ingredient to finish this Ranarr potion.","/Game/Textures/Items/T_RanarrPotionUnf.T_RanarrPotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"101","Irit potion (unf)","","101","False","","False","I need another ingredient to finish this Irit potion.","/Game/Textures/Items/T_IritPotionUnf.T_IritPotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"103","Avantoe potion (unf)","","103","False","","False","I need another ingredient to finish this Avantoe potion.","/Game/Textures/Items/T_AvantoePotionUnf.T_AvantoePotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"105","Kwuarm potion (unf)","","105","False","","False","I need another ingredient to finish this Kwuarm potion.","/Game/Textures/Items/T_KwuarmPotionUnf.T_KwuarmPotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"107","Cadantine potion (unf)","","107","False","","False","I need another ingredient to finish this Cadantine potion.","/Game/Textures/Items/T_CadantinePotionUnf.T_CadantinePotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"109","Dwarf weed potion (unf)","","109","False","","False","I need another ingredient to finish this Dwarf Weed potion.","/Game/Textures/Items/T_DwarfWeedPotionUnf.T_DwarfWeedPotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"111","Torstol potion (unf)","","111","False","","False","I need another ingredient to finish this Torstol potion.","/Game/Textures/Items/T_TorstolPotionUnf.T_TorstolPotionUnf",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"113","Strength potion(4)","","113","False","","False","4 doses of Strength potion.","/Game/Textures/Items/T_StrengthPotion4.T_StrengthPotion4",""
"---","Name","Mesh","Id","bEquipable","EquipType","bStackable","Examine","Icon","Options"
"115","Strength potion(3)","","115","False","","False","3 doses of Strength potion.","/Game/Textures/Items/T_StrengthPotion3.T_StrengthPotion3",""
